,kl,da
0,"netredaktionen ansvarshavend chefredaktørchristian schultzlorenzen internetredaktør meret lindstrøm journalist kassaaluk kristensen ninavivi møller andersen thoma veirum kontakt redaktionel henvendels redaktionsermitsiaq
","flere kritiser laksepolitikken sermitsiaq
"
1,"mary arctica angalaneq 144-mut allannguuteqartoqanngilaq
","nægtede godkend lån siumut notat er udsendt efter et andet møde mandag kommunen udvalg økonomi og erhverv
"
2,"statistik sermitsiaq
","forsiden indland nuuk politik erhverv politi udland kultur sport nyhedsoversigt job temaer ukrainekonflikt boligsagen coronaviru kniregnskabsrod nye lufthavn sexchikan pituffik ral mister sejlad til pituffik kontrakten på sejlad mellem danmark nuuk og thule er netop gået til et amerikansk selskab til trod rammeaftalen ser ud til være mere end dobbelt så dyr som det tilbud royal arctic line har fremsendt
"
3,"polar aassik kivivoq sermitsiaq
","vi har ikk undersøgt det siger ida abelsenhansen der er formand niisip der er den grønlandsk socialrådgiverforen
"
4,"dk iserfigiuk oqalliffimmut tikilluarit oqallinneq malinnaaffigalugulu peqataaffigerusukkukku cooki akuerissavat ”accept cookies”
","unikt sort hul opdaget mælkevejen sermitsiaq
"
5,"denn udsendels optaget går kulturhuset katuaq er fra et offentligt debatarrang om perspektivern arktis’ roll kongeriget udenrigspolitik frem mod
","forsiden indland nuuk politik erhverv politi udland kultur sport nyhedsoversigt job temaer ukrainekonflikt boligsagen coronaviru kniregnskabsrod nye lufthavn sexchikan prisen air greenland er nu lagt fast selvstyret har nået en vigtig milepæl med hensyn til få det fuld ejerskab af air greenland
"
6,"aamma atuaruk efter voldtægt vold og massivt druk salg af alkohol stopper tasiilaq derfor har sundhedsvæsenet kontaktet kommunalbestyrelsen og borgmest charlott ludvigsen ia anmod om få stoppet alkoholsalget
","indonesien bloker whatsapp seksuelt indhold sermitsiaq
"
7,"et nyt fireårigt forskningsprojekt rettet mod vore ældre sundh velvær og livskvalitet skal gang nu hele grønland – det er et projekt som den almennyttig fond veluxfonden støtter med million kroner
","kim satser på erfar og politisk tyngd sermitsiaq
"
8,"spritbilist kørt ind en lygtepæl og totalskadet sin bil
","køb den senest udgav af avisen sermitsiaq sermitsiaq uge klik læse velkommen til debatten du skal accepter cooki bunden af sitet kunn se og deltag debatten
"
9,"inuit allat
","forskningsworkshop med foku på arkti dmi og styrelsen forskn og uddannels slår dag dørene op en ny type videnskabelig workshop
"
10,"nunarsuaq tamakkerlugu coronavirusimik tunillaassuuttoqarnerani malunnaatilimmik allanngortoqarpat innersuussutit allanngortinneqaratarsinnaapput kalaallit nunaanni timersoqatigiiffiit kattuffiata allakkiaani taama allassimavoq allakkiami nakorsaq canadamiu arlalinnik innersuussuteqartuuvoq
","hun understreg ændringsforslag lige op til en eventuel vedtagels ikk giver muligh tre behandling inatsisartut hvilket er lidt tid
"
11,"københavn storkr uff elbæk
","tværtimod udveksl landen flittigt oplysning
"
12,"januari saarngit nakorsaannik seeqquusaliinermik siffiaasaliinermillu immikkut ilisimasalimmik aalaakkaasumik atorfinittoqarnera tamannalu aqqusaartugassanik aaqqissuussinitsinni aallaaviuvoq
","suspendisse congue enim in diam iaculis, nec iaculis erat vehicula
"
13,"sillimaniarnermut teknikerinngortoq sermitsiaq
","men risikoen dø af sygdommen er større end de øvrige nordisk land
"
14,"nielsen redaktionen monday
","aaja chemnitz larsen er dog enig med christian juhl inddragelsen altid kan blive bedr
"
